Marca temporal,Etapa de la carrera,Carrera de grado,En que provincia trabajas,En tu laboratorio se usa hardware open source,En tu laboratorio se usa software open source,Seleccioná la opción que mejor corresponda a cada herramienta [Linux],Seleccioná la opción que mejor corresponda a cada herramienta [LibreOffice],Seleccioná la opción que mejor corresponda a cada herramienta [Python],Seleccioná la opción que mejor corresponda a cada herramienta [R],Seleccioná la opción que mejor corresponda a cada herramienta [Bonsai-rx],Seleccioná la opción que mejor corresponda a cada herramienta [Inkscape],Seleccioná la opción que mejor corresponda a cada herramienta [Raspberry Pi],Seleccioná la opción que mejor corresponda a cada herramienta [Teensy],Seleccioná la opción que mejor corresponda a cada herramienta [Arduino],Seleccioná la opción que mejor corresponda a cada herramienta [ESP32],Seleccioná la opción que mejor corresponda a cada herramienta [Impresora 3D],Seleccioná la opción que mejor corresponda a cada herramienta [Thingyverse],Seleccioná la opción que mejor corresponda a cada herramienta [Hackaday],Seleccioná la opción que mejor corresponda a cada herramienta [GitHub],Seleccioná la opción que mejor corresponda a cada herramienta [KiCAD],Seleccioná la opción que mejor corresponda a cada herramienta [CNC],Seleccioná la opción que mejor corresponda a cada herramienta [Cortadora Laser],¿Sabés programar? ¿Cómo aprendiste?,Programo,Lenguajes de programación que frecuentemente utilizas,Encuentro que la falta de financiamiento para hardware y software es un factor limitante para mi trabajo,Encuentro que la falta de capacitación en hardware y software es un factor limitante para mi trabajo,Los materiales para reproducir mi investigación están en un repositorio público
2020-06-30T09:57:40Z,Post-doc,Genetica,CABA,No sé,Sí,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No se,Nunca,Ninguno,1,5,Código + Documentación + Ejemplos con data reproducible
2020-06-30T19:24:00Z,Doctorando,Biología,CABA,No,No,Lo conozco pero nunca usé,Lo uso/usé,Lo uso/usé,Lo uso/usé,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,"Sí, con algñun taller introductorio y después practicando con mis datos",Más de una vez por semana,"R, Matlab",3,3,No
2020-07-03T08:30:24Z,Doctorando,Biología,Río Negro,Sí,Sí,Lo uso/usé,Lo uso/usé,Lo uso/usé,Lo uso/usé,No lo conozco,Lo uso/usé,Lo conozco pero nunca usé,No lo conozco,Lo uso/usé,No lo conozco,Lo conozco pero nunca usé,Lo conozco pero nunca usé,No lo conozco,Lo uso/usé,No lo conozco,No lo conozco,No lo conozco,"Materias de la facultad, del doctorado y por mi cuenta",Una vez por semana,"Python, R, Arduino",3,4,No
2020-07-03T08:30:50Z,Doctorando,Psicología,CABA,No,Sí,Lo conozco pero nunca usé,Lo conozco pero nunca usé,Lo uso/usé,Lo conozco pero nunca usé,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo uso/usé,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo uso/usé,Lo conozco pero nunca usé,Lo uso/usé,Lo uso/usé,Lo conozco pero nunca usé,Lo conozco pero nunca usé,"Algo de Python, en un curso de la facultad",Una vez al año,Python,5,4,No
2020-07-03T08:44:46Z,Doctorando,Biología,CABA,No sé,Sí,Quiero asistir a un taller sobre esto,Lo conozco pero nunca usé,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,Lo conozco pero nunca usé,No lo conozco,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,Python en Exactas Programa y R a los golpes,Más de una vez por semana,"Python, R",4,4,No
2020-07-03T09:05:40Z,Doctorando,Biología,CABA,No sé,Sí,No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,"Lo uso/usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,"No lo conozco, Lo conozco pero nunca usé",Si. Un poco de programación en R. Aprendí en algunas materias de la carrera de biología.,Nunca,R,4,5,Código + Documentación
2020-07-03T09:07:14Z,Estudiante de grado,Biotecnología,CABA,No sé,No sé,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",Lo uso/usé,"Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto","Lo conozco pero nunca usé, Quiero asistir a un taller sobre esto",No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo uso/usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No se programar,Nunca,NA,3,5,No
2020-07-03T09:19:58Z,Doctoranda con inicio del doctorado restringido por la pandemia,Biotecnología,CABA,No sé,No sé,Lo conozco pero nunca usé,Lo uso/usé,Lo conozco pero nunca usé,Lo uso/usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,Lo conozco pero nunca usé,No,Nunca,Ninguno,5,5,No
2020-07-03T09:31:57Z,Doctorando,Biología,CABA,Sí,Sí,Lo uso/usé,Lo uso/usé,Lo uso/usé,Lo uso/usé,Lo uso/usé,Lo uso/usé,Lo conozco pero nunca usé,Lo conozco pero nunca usé,Lo uso/usé,No lo conozco,Lo conozco pero nunca usé,No lo conozco,No lo conozco,Lo uso/usé,No lo conozco,Lo uso/usé,No lo conozco,"Si, a los bifes.",Más de una vez por semana,"Python, C, Matlab",3,3,No
2020-07-03T09:33:23Z,Doctorando,Biología,CABA,No sé,No sé,Lo uso/usé,Lo uso/usé,Quiero asistir a un taller sobre esto,Quiero asistir a un taller sobre esto,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,Quiero asistir a un taller sobre esto,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,No lo conozco,NA,Nunca,NA,3,5,No
